haiku,summary
"why can't two people
 on the same network join a
dying light session","Connectivity issues in Dying Light.
"
"That feeling when it's
 payday but then you have all
your bills coming out","The bittersweet feeling of getting paid but immediately having to pay bills.
"
"My Girlfriend is so
 good At playing HIDE SEEK I
have not found her yet","A person has been unable to find their girlfriend who is good at hide-and-seek.
"
"Thank you for always
 being positive and for
always spreading love","Gratitude for someone's positivity and loving nature.
"
"Peeling stuff with a
 knife makes me feel like I could
survive in the woods","Peeling with a knife evokes feelings of self-sufficiency and wilderness survival.
"
"He moving too damn
 slow to be talking this much
or is it just me","Someone is annoyed by a slow-moving and talkative person.
"
"I'M LIVING SUCH A
 BLESSED LIFE AND I'M TRYING MY
BEST TO DESERVE IT","Gratitude for a blessed life, striving to be worthy.
"
"Hope it stops raining
 for you enjoy your stay and
have a great Christmas","Wishing for good weather and a happy Christmas.
"
"Almost missed my flight
 by being at the wrong gate
thinking it was mine","A near miss of a flight due to being at the wrong gate.
"
"Sometimes it takes a
 bad relationship to get
you into the gym","A bad relationship can motivate gym attendance.
"
"support the unions
 they want a living wage u
crossed their picket line","Crossing a union's picket line undermines their fight for a living wage.
"
"This is not goodbye
 she said It is just time for
me to rest my head","A gentle farewell and acceptance of rest.
"
"They say money can't
 buy you happiness but it
does buy red wine so","Money can't buy happiness, but it can buy things that make you happy, like red wine.
"
"Patience is when you're
 supposed to be mad but you
choose to understand","Choosing understanding over anger defines patience.
"
"Faith fear both demand
 you believe in something you
cannot see You choose","Faith and fear both require belief in the unseen; the choice is yours.
"
"Once we figure out
 how to break into Tom's house
NO ONE WILL STOP US","A plan to burglarize Tom's house with unwavering determination.
"
"Tonight at work a
 group of swingers came in and
asked me to join them","A person working tonight was invited by a group of swingers to join them.
"
"Now playing When You're
 in Love with a Beautiful
Woman by Dr Hook","A song about being in love with a beautiful woman.
"
"IM COMING FOR YOUR
 MAN IS A NEW HOW DOES IT
FEEL LIKE TO KISS COLE","An aggressive declaration of romantic interest towards someone else's partner, specifically named Cole.
"
"getting paid twice a
 month is fucking dumb im not
a fucking teacher","Getting paid twice a month is annoying and unnecessary.
"
"A compliment does
 not mean I want you It's just
that a compliment","A compliment is just that, not an invitation.
"
"YouTube is down Great
 now what else am I supposed
to do with my time","YouTube outage leads to boredom and a search for alternative activities.
"
"Betrayal is worst
 than anything heartbreak can't
fuck with betrayal","Betrayal is worse than heartbreak.
"
"Turns out the reviews
 you regret the most are the
ones you failed to write","Regret for reviews left unwritten.
"
"First say to yourself
 what you would be and then do
what you have to do","Align your actions with your aspirations.
"
"You'll never find the
 right person if you don't let
go of the wrong one","Let go of the wrong to find the right.
"
"I'm still laughing at
 your tweet lol i had to come
back and follow u","A funny tweet led to a follow.
"
"When Drake said styling
 though dissing but got pictures
with me smiling though","Drake disses, but they pose together smiling.
"
"Try organic dark
 brown sugar and almond oil
and try oil cleansing","A suggestion to try organic dark brown sugar and almond oil for oil cleansing.
"
"And when you become
 a diamond you'll see why life
had to pressure you","Life's pressures are necessary for growth and eventual understanding.
"
"tout website trial
 contact form is not working
Would like a trial","Website trial requested, contact form broken.
"
"There's nothing much more
 beautiful in this world Than
a person who cares","Caring for others is the most beautiful thing in the world.
"
"tanner got in a
 wreck and is being rushed to
the hospital im","A person named Tanner was in a car accident and is being taken to the hospital.
"
"Ha No matter how
 big you are my magic is
bigger and better","Boasting of superior magic regardless of size.
"
"i love watching my
 friends flourish in their careers
and relationships","Happiness in seeing friends succeed.
"
"Oh yea I didn't
 get my contacts so I'll be
blind the whole weekend","Forgetting contacts leads to a blind weekend.
"
"cannot wait to wear
 a twist out next week i've missed
my natural hair","Anticipation for wearing natural hair after a protective style.
"
"Wow I never knew
 MS State had the best rushing
offense in the SEC","MS State's surprising football prowess.
"
"The smallest act of
 kindness is worth more than the
grandest intention","Kindness in action outweighs good intentions.
"
"Man I be feeling
 like a lil kid at toys r
us on his birthday","Overwhelming joy and excitement, like a child in a toy store on their birthday.
"
"Me while furnishing
 my house I am scared to check
my balance right now","A person fears checking their bank balance after furnishing their house.
"
"You must be joking
 Trump is no Goering and
you're far from Jackson","Compares someone unfavorably to historical figures, implying they are neither as bad as Goering nor as great as Jackson.
"
"which Bear is going
 to have their breakout year and
get a nice pay day","Predicting which Bears player will have a breakout season and earn a significant contract.
"
"You've got an account
 impersonating you Just
thought you'd like to know","Someone is impersonating the reader online.
"
"I should be working
 but my motivation is
at an all time low","Procrastination due to lack of motivation.
"
"i LOVE swapping books
 like let me read what matters
to you i love it","Sharing books reveals what's important to others.
"
"Hope the Thunder can
 sign Joe Johnson he'd be a
great fit here I think","A basketball fan hopes the Oklahoma City Thunder will sign Joe Johnson.
"
"Always room for self
 improvement never to high
and never to low","Striving for continuous self-improvement, avoiding arrogance and despair.
"
"Where can I apply
 to benefit for this Are
there age restrictions","Asks about age restrictions for an application.
"
"i just ate meatless
 chicken nuggets and i am
now a new person","A person experiences a transformative moment after eating meatless chicken nuggets.
"
"the new update is
 stupid and you should change it
back to how it was","The new update is bad and should be reverted.
"
"You'll recognize me
 when you see me I'll be the
one holding the bag","A person will be identifiable by holding a bag.
"
"the devil went down
 to georgia he was looking
for a soul to steal","The Devil seeks a soul in Georgia.
"
"I'm learning how to
 go with the flow of things and
its been beautiful","Finding beauty in accepting life's flow.
"
"Cheating is cheating
 it just comes in different
shapes and dimensions","Cheating is always wrong, regardless of how it manifests.
"
"my father ask me
 if a so my hair a go
look for the christmas","A father asks about hair for Christmas.
"
"A good teacher is
 a teacher who shows children
how to use their minds","Good teachers empower children to think for themselves.
"
"If you're not watching
 these bowl games you're not a fan
of college football","Missing bowl games means you're not a true college football fan.
"
